Watch for new projects and new beginnings | Prepare to take something on faith | Something new comes your way; go for it | freedom | faith | inexperience | innocence | Freeing yourself from limitation | Expressing joy and youthful vigor | Being open-minded | Taking a leap of faith | Attuning yourself to your instincts | Being eager or curious | Exploring your potential | Embracing innovation and change | Being gullible and naive | Taking unnecessary risks | Failing to be serious when required | Being silly or distracted | Lacking experience | Failing to honor well-established traditions and limits | Behaving inappropriately | The Fool | 0 | major |  |  |  |  |  | 
A powerful man may play a role in your day | Your current situation must be seen as one element of a much larger plan |  | capability | empowerment | activity |  | Taking appropriate action | Receiving guidance from a higher power | Becoming a channel of divine will | Expressing masculine energy in appropriate and constructive ways | Being yourself in every way |  |  |  | Inflating your own ego | Abusing talents | Manipulating or deceiving others | Being too aggressive | Using cheap illusions to dazzle others | Refusing to invest the time and effort needed to master your craft | Taking shortcuts | The Magician | 1 | major |  |  |  |  |  | 
A mysterious woman arrives | A sexual secret may surface | Someone knows more than he or she will reveal | intuition | reflection | purity | initiation | Listening to your feelings and intuitions | Exploring unconventional spirituality | Keeping secrets | Being receptive | Reflecting instead of acting | Observing others | Preserving purity |  | Being aloof | Obsessing on secrets and conspiracies | Rejecting guidance from spirit or intuition | Revealing all | Ignoring gut feelings | "Refusing to become involved, even when involvement is appropriate" |  | The Papess/High Priestess | 2 | major |  |  |  |  |  | 
Pregnancy is in the cards | An opportunity to be involved in luxurious sexuality is coming | Beware a tendency toward addiction | fertility | productivity | ripeness | nurturing | Nurturing yourself and others | Bearing fruit | Celebrating your body | Bearing (literal or figurative) children | Reveling in luxury | Mothering those around you in positive ways | Enjoying your sexuality | Getting things done | Overindulging | Being greedy | Smothering someone with attention | Debilitating someone by being overprotective | Inhibiting productivity by obsessing on productivity | Being overcome by addictive behavior |  | The Empress | 3 | major |  |  |  |  |  | 
A father figure arrives | A new employer or authority figure will give you orders | Expect discipline or correction in the near future | authority | regulation | direction | structure | Exercising authority | Defining limits | Directing the flow of work | Communicating clear guidelines | Being in control of yourself and others | Tempering aggressive masculinity with wisdom and experience |  |  | Micromanaging | "Crushing the creativity of others with a rigid, iron-fisted approach" | Insisting on getting your own way | Assuming a dictatorial mindset | Using overt force to achieve your goals and maintain order |  |  | The Emperor | 4 | major |  |  |  |  |  | 
Expect to be caught in a misdeed and punished accordingly | Pray for forgiveness and confess wrongdoings | "A more experienced man, spiritual leader, or father figure will come into your life" | guidance | knowledge | revelation | belief | Teaching or guiding others | Searching for the truth | Asking for guidance from a higher power | Acknowledging the wisdom and experience of others | Taking vows | Engaging in heartfelt rituals | Volunteering |  | Using experience as a means of manipulating or misguiding others | Being dogmatic | Favoring tradition over what is expedient or necessary | Going through the motions of empty rituals | Concealing wisdom | Restricting access to spiritual truths or the gods |  | The Pope/Hierophant | 5 | major |  |  |  |  |  | 
A new personal or professional relationship blossoms | Sexual opportunities abound | "Unexpectedly, a friend becomes a lover" | love | passion | unity | choice | Being in love | Showing your love to others | Expressing passion or romantic feelings | Aligning yourself with groups or like-minded others | Bringing people together | Making well-informed decisions |  |  | Debilitating passion | Allowing an unhealthy desire for love to motivate destructive behavior | Disrupting unity | Working against the best interests of those who care about you | Ill-informed decisions |  |  | The Lovers | 6 | major |  |  |  |  |  | 
Victory is a certainty | Move ahead with all plans | Beware the jealousy of others | advancement | victory | triumph | success | Breaking through barriers | Moving forward with confidence and authority | Reaching the pinnacle of success | Basking in the glory of achievement | Guiding an effort to total victory | Establishing yourself as a worthy leader |  |  | Resting on laurels | Riding roughshod over the feelings or expectations of others | Focusing more on past successes than future opportunities | Failing to rein in impulsive behavior |  |  |  | The Chariot | 7 | major |  |  |  |  |  | 
Your self-control will be tested | A woman will seek to change her partner or lover | "You are a strong, capable person" | discipline | boldness | self-discipline | power | Imposing restrictions on yourself for your own benefit | Bringing your passions under the control of reason | Resisting impulses that work against your best interests | Taking bold action |  |  |  |  | "Indulging weakness, even when you know it will damage your health and happiness" | Languishing in addiction | Allowing your instincts to tame and conquer you | Failing to take a stand when necessary |  |  |  | Strength | 8 | major | vitality |  |  |  |  | 
A period of loneliness begins | One partner in a relationship departs | A search for love or money proves fruitless | solitude | experience | stillness | withdrawal | Becoming or seeking out a guru | Going on a retreat | Recharging spiritual or creative batteries | Lighting the way for those with less experience | Stepping back to gain perspective |  |  |  | Being a loner | Fearing contact with others | Becoming a know-it-all | Inflating claims of expertise | Hiding your skills and talents out of fear of unworthiness |  |  | The Hermit | 9 | major |  |  |  |  |  | 
Some events are in the hands of heaven | You've lived through this before | What happened then? | luck | randomness | cycles | karma | Allowing events to unfold | Seeing the larger pattern in everyday events | Trusting your luck | Watching for cycles | "Believing that ""what goes around, comes around""" |  |  |  | Losing money gambling | Refusing to do your part to bring a plan to fruition | Taking a fatalistic approach to life | Fighting the natural course of events |  |  |  | The Wheel | 10 | major | fate | revolution |  |  |  | 
A legal verdict will be rendered soon | Someone is making a decision | You need to get the facts | balance | law | fairness | objectivity | Making an objective decision | Weighing an issue carefully before taking action | Appropriately scaling your reaction to a situation | Getting all the facts | Considering evidence | Deliberating |  |  | Delivering harsh criticism | Obsessing on rules and regulations | Playing by the book even when it is destructive or counterproductive to do so | Confusing snap decisions with timely action | Playing favorites |  |  | Justice | 11 | major |  |  |  |  |  | 
A traitor is revealed | One of your friends is working against you | Change your ways or suffer the consequences | enlightenment | sacrifice | perspective | suspension | Seeing growth opportunities in unpleasant events | Experiencing a dramatic change in personal perspective | Making the best of an unforeseen change in your life or work | Suspending disbelief | Making sacrifices |  |  |  | Being untrue to yourself and your values | Refusing to make sacrifices when appropriate | Refusing to adapt to new situations | Blaming others | Profiting at the expense of others |  |  | The Hanged Man | 12 | major | reversals |  |  |  |  | 
A relationship or illness ends suddenly | Limit travel and risk-taking | General gloom and doom | ending | conclusion | transition | passage | Bringing an unpleasant phase of life to an end | Recognizing and celebrating the conclusion of something | Putting bad habits to rest | Becoming a new person | "Leaving one person, place, or thing for another" | Letting go |  |  | Obsessing on death and dying | Refusing to give up old habits or unhealthy relationships | Insisting that everything and everyone should stay the same forever | Failing to take good care of yourself |  |  |  | Death | 13 | major | departure |  |  |  |  | 
